bundesland,jahr,ferien_typ,start,ende
HH,2023,Herbstferien,2023-10-16,2023-10-27
HH,2023,Weihnachtsferien,2023-12-22,2024-01-05
HH,2024,Weihnachtsferien,2023-12-22,2024-01-05
HH,2024,Halbjahrespause,2024-02-02,2024-02-02
HH,2024,Frühjahrsferien,2024-03-18,2024-03-28
HH,2024,Brückentag,2024-05-10,2024-05-10
HH,2024,Pfingstferien,2024-05-21,2024-05-24
HH,2024,Sommerferien,2024-07-18,2024-08-28
HH,2024,Brückentag,2024-10-04,2024-10-04
HH,2024,Herbstferien,2024-10-21,2024-11-01
HH,2024,Weihnachtsferien,2024-12-20,2025-01-03
HH,2025,Weihnachtsferien,2024-12-20,2025-01-03
HH,2025,Halbjahrespause,2025-01-31,2025-01-31
HH,2025,Frühjahrsferien,2025-03-10,2025-03-21
HH,2025,Brückentag,2025-05-02,2025-05-02
HH,2025,Pfingstferien,2025-05-26,2025-05-30
HH,2025,Sommerferien,2025-07-24,2025-09-03
HH,2025,Herbstferien,2025-10-20,2025-10-31
HH,2025,Weihnachtsferien,2025-12-17,2026-01-02
HE,2019,Weihnachtsferien,2019-12-23,2020-01-11
HE,2020,Weihnachtsferien,2019-12-23,2020-01-11
HE,2020,Osterferien,2020-04-06,2020-04-18
HE,2020,Sommerferien,2020-07-06,2020-08-14
HE,2020,Herbstferien,2020-10-05,2020-10-17
HE,2020,Weihnachtsferien,2020-12-21,2021-01-09
HE,2021,Weihnachtsferien,2020-12-21,2021-01-09
HE,2021,Osterferien,2021-04-06,2021-04-16
HE,2021,Sommerferien,2021-07-19,2021-08-27
HE,2021,Herbstferien,2021-10-11,2021-10-23
HE,2021,Weihnachtsferien,2021-12-23,2022-01-08
HE,2022,Weihnachtsferien,2021-12-23,2022-01-08
HE,2022,Osterferien,2022-04-11,2022-04-23
HE,2022,Sommerferien,2022-07-25,2022-09-02
HE,2022,Herbstferien,2022-10-24,2022-10-29
HE,2022,Weihnachtsferien,2022-12-22,2023-01-07
HE,2023,Weihnachtsferien,2022-12-22,2023-01-07
HE,2023,Osterferien,2023-04-03,2023-04-22
HE,2023,Sommerferien,2023-07-24,2023-09-01
HE,2023,Herbstferien,2023-10-23,2023-10-28
HE,2023,Weihnachtsferien,2023-12-27,2024-01-13
HE,2024,Weihnachtsferien,2023-12-27,2024-01-13
HE,2024,Osterferien,2024-03-25,2024-04-13
HE,2024,Sommerferien,2024-07-15,2024-08-23
HE,2024,Herbstferien,2024-10-14,2024-10-25
HE,2024,Weihnachtsferien,2024-12-23,2025-01-10
HE,2025,Weihnachtsferien,2024-12-23,2025-01-10
HE,2025,Osterferien,2025-04-07,2025-04-21
HE,2025,Sommerferien,2025-07-07,2025-08-15
HE,2025,Herbstferien,2025-10-06,2025-10-18
HE,2025,Weihnachtsferien,2025-12-22,2026-01-10
MV,2019,Weihnachtsferien,2019-12-23,2020-01-04
MV,2020,Weihnachtsferien,2019-12-23,2020-01-04
MV,2020,Winterferien,2020-02-10,2020-02-21
MV,2020,Winterferien,2020-02-10,2020-02-15
MV,2020,Osterferien,2020-04-06,2020-04-15
MV,2020,Osterferien,2020-04-06,2020-04-17
MV,2020,Zusätzlicher Ferientag,2020-05-22,2020-05-22
MV,2020,Pfingstferien,2020-05-29,2020-06-02
MV,2020,Sommerferien,2020-06-22,2020-08-01
MV,2020,Sommerferien,2020-07-13,2020-08-29
MV,2020,Herbstferien,2020-10-05,2020-10-10
MV,2020,Zusätzlicher Ferientag,2020-11-02,2020-11-02
MV,2020,Zusätzlicher Ferientag,2020-11-03,2020-11-03
MV,2020,Weihnachtsferien,2020-12-21,2021-01-02
MV,2021,Weihnachtsferien,2020-12-21,2021-01-02
MV,2021,Winterferien,2021-02-05,2021-02-13
MV,2021,Winterferien,2021-02-06,2021-02-18
MV,2021,Schulfrei,2021-02-19,2021-02-19
MV,2021,Osterferien,2021-03-29,2021-04-07
MV,2021,Osterferien,2021-03-29,2021-04-09
MV,2021,Zusätzlicher Ferientag,2021-05-14,2021-05-14
MV,2021,Pfingstferien,2021-05-21,2021-05-25
MV,2021,Sommerferien,2021-06-21,2021-07-31
MV,2021,Sommerferien,2021-07-12,2021-08-28
MV,2021,Herbstferien,2021-10-02,2021-10-09
MV,2021,Zusätzlicher Ferientag,2021-11-01,2021-11-01
MV,2021,Zusätzlicher Ferientag,2021-11-02,2021-11-02
MV,2021,Weihnachtsferien,2021-12-22,2022-01-03
MV,2021,Weihnachtsferien,2021-12-22,2021-12-31
MV,2022,Weihnachtsferien,2021-12-22,2022-01-03
MV,2022,Winterferien,2022-02-05,2022-02-12
MV,2022,Winterferien,2022-02-05,2022-02-17
MV,2022,Schulfrei,2022-02-18,2022-02-18
MV,2022,Osterferien,2022-04-11,2022-04-22
MV,2022,Osterferien,2022-04-11,2022-04-20
MV,2022,Zusätzlicher Ferientag,2022-05-27,2022-05-27
MV,2022,Pfingstferien,2022-06-03,2022-06-07
MV,2022,Sommerferien,2022-07-04,2022-08-13
MV,2022,Sommerferien,2022-07-11,2022-08-27
MV,2022,Herbstferien,2022-10-10,2022-10-14
MV,2022,Herbstferien,2022-10-10,2022-10-15
MV,2022,Zusätzlicher Ferientag,2022-10-28,2022-10-28
MV,2022,Zusätzlicher Ferientag,2022-11-01,2022-11-01
MV,2022,Zusätzlicher Ferientag,2022-11-02,2022-11-02
MV,2022,Weihnachtsferien,2022-12-22,2023-01-02
MV,2023,Weihnachtsferien,2022-12-22,2023-01-02
MV,2023,Winterferien,2023-02-06,2023-02-18
MV,2023,Winterferien,2023-02-06,2023-02-11
MV,2023,Osterferien,2023-04-03,2023-04-12
MV,2023,Osterferien,2023-04-03,2023-04-15
MV,2023,Zusätzlicher Ferientag,2023-05-19,2023-05-19
MV,2023,Pfingstferien,2023-05-26,2023-05-30
MV,2023,Zusätzlicher Ferientag,2023-05-26,2023-05-26
MV,2023,Sommerferien,2023-07-17,2023-09-01
MV,2023,Sommerferien,2023-07-17,2023-08-26
MV,2023,Zusätzlicher Ferientag,2023-10-02,2023-10-02
MV,2023,Herbstferien,2023-10-09,2023-10-14
MV,2023,Zusätzlicher Ferientag,2023-10-30,2023-10-30
MV,2023,Zusätzlicher Ferientag,2023-11-01,2023-11-01
MV,2023,Weihnachtsferien,2023-12-21,2024-01-03
MV,2024,Weihnachtsferien,2023-12-21,2024-01-03
MV,2024,Winterferien,2024-02-05,2024-02-16
MV,2024,Winterferien,2024-02-05,2024-02-10
MV,2024,Osterferien,2024-03-25,2024-04-05
MV,2024,Osterferien,2024-03-25,2024-04-03
MV,2024,Zusätzlicher Ferientag,2024-05-10,2024-05-10
MV,2024,Pfingstferien,2024-05-17,2024-05-21
MV,2024,Sommerferien,2024-07-15,2024-08-31
MV,2024,Sommerferien,2024-07-22,2024-08-31
MV,2024,Zusätzlicher Ferientag,2024-10-04,2024-10-04
MV,2024,Herbstferien,2024-10-21,2024-10-26
MV,2024,Zusätzlicher Ferientag,2024-11-01,2024-11-01
MV,2024,Weihnachtsferien,2024-12-23,2025-01-04
MV,2024,Weihnachtsferien,2024-12-23,2025-01-06
MV,2025,Weihnachtsferien,2024-12-23,2025-01-04
MV,2025,Weihnachtsferien,2024-12-23,2025-01-06
MV,2025,Winterferien,2025-02-03,2025-02-14
MV,2025,Winterferien,2025-02-03,2025-02-08
MV,2025,Osterferien,2025-04-14,2025-04-23
MV,2025,Osterferien,2025-04-14,2025-04-25
MV,2025,Zusätzlicher Ferientag,2025-05-02,2025-05-02
MV,2025,Zusätzlicher Ferientag,2025-05-30,2025-05-30
MV,2025,Pfingstferien,2025-06-06,2025-06-10
MV,2025,Sommerferien,2025-07-14,2025-08-30
MV,2025,Sommerferien,2025-07-28,2025-09-06
MV,2025,Zusätzlicher Ferientag,2025-10-01,2025-10-01
MV,2025,Zusätzlicher Ferientag,2025-10-02,2025-10-02
MV,2025,Herbstferien,2025-10-20,2025-10-24
MV,2025,Herbstferien,2025-10-20,2025-10-25
MV,2025,Zusätzlicher Ferientag,2025-11-03,2025-11-03
MV,2025,Weihnachtsferien,2025-12-20,2026-01-03
MV,2025,Weihnachtsferien,2025-12-22,2026-01-03
NI,2019,Weihnachtsferien,2019-12-23,2020-01-06
NI,2020,Weihnachtsferien,2019-12-23,2020-01-06
NI,2020,Halbjahresferien,2020-02-03,2020-02-04
NI,2020,Osterferien,2020-03-30,2020-04-14
NI,2020,Tag nach Himmelfahrt,2020-05-22,2020-05-22
NI,2020,Pfingstferien,2020-06-02,2020-06-02
NI,2020,Sommerferien,2020-07-16,2020-08-26
NI,2020,Herbstferien,2020-10-12,2020-10-23
NI,2020,Weihnachtsferien,2020-12-23,2021-01-08
NI,2021,Weihnachtsferien,2020-12-23,2021-01-08
NI,2021,Halbjahresferien,2021-02-01,2021-02-02
NI,2021,Osterferien,2021-03-29,2021-04-09
NI,2021,Tag nach Himmelfahrt,2021-05-14,2021-05-14
NI,2021,Pfingstferien,2021-05-25,2021-05-25
NI,2021,Sommerferien,2021-07-22,2021-09-01
NI,2021,Herbstferien,2021-10-18,2021-10-29
NI,2021,Weihnachtsferien,2021-12-23,2022-01-07
NI,2022,Weihnachtsferien,2021-12-23,2022-01-07
NI,2022,Halbjahresferien,2022-01-31,2022-02-01
NI,2022,Osterferien,2022-04-04,2022-04-19
NI,2022,Tag nach Himmelfahrt,2022-05-27,2022-05-27
NI,2022,Pfingstferien,2022-06-07,2022-06-07
NI,2022,Sommerferien,2022-07-14,2022-08-24
NI,2022,Herbstferien,2022-10-17,2022-10-28
NI,2022,Weihnachtsferien,2022-12-23,2023-01-06
NI,2023,Weihnachtsferien,2022-12-23,2023-01-06
NI,2023,Halbjahresferien,2023-01-30,2023-01-31
NI,2023,Osterferien,2023-03-27,2023-04-11
NI,2023,Tag nach Himmelfahrt,2023-05-19,2023-05-19
NI,2023,Pfingstferien,2023-05-30,2023-05-30
NI,2023,Sommerferien,2023-07-06,2023-08-16
NI,2023,Tag vor dem 3. Oktober,2023-10-02,2023-10-02
NI,2023,Herbstferien,2023-10-16,2023-10-30
NI,2023,Weihnachtsferien,2023-12-27,2024-01-05
NI,2024,Weihnachtsferien,2023-12-27,2024-01-05
NI,2024,Halbjahresferien,2024-02-01,2024-02-02
NI,2024,Osterferien,2024-03-18,2024-03-28
NI,2024,Tag nach Himmelfahrt,2024-05-10,2024-05-10
NI,2024,Pfingstferien,2024-05-21,2024-05-21
NI,2024,Sommerferien,2024-06-24,2024-08-03
NI,2024,Herbstferien,2024-10-04,2024-10-19
NI,2024,Tag nach dem Reformationstag,2024-11-01,2024-11-01
NI,2024,Weihnachtsferien,2024-12-23,2025-01-04
NI,2025,Weihnachtsferien,2024-12-23,2025-01-04
NI,2025,Halbjahresferien,2025-02-03,2025-02-04
NI,2025,Osterferien,2025-04-07,2025-04-19
NI,2025,Kirchentag,2025-04-30,2025-04-30
NI,2025,Tag nach dem 1. Mai,2025-05-02,2025-05-02
NI,2025,Tag nach Himmelfahrt,2025-05-30,2025-05-30
NI,2025,Pfingstferien,2025-06-10,2025-06-10
NI,2025,Sommerferien,2025-07-03,2025-08-13
NI,2025,Herbstferien,2025-10-13,2025-10-25
NI,2025,Weihnachtsferien,2025-12-22,2026-01-05
NW,2019,Weihnachtsferien,2019-12-23,2020-01-06
NW,2020,Weihnachtsferien,2019-12-23,2020-01-06
NW,2020,Osterferien,2020-04-06,2020-04-18
NW,2020,Pfingstferien,2020-06-02,2020-06-02
NW,2020,Sommerferien,2020-06-29,2020-08-11
NW,2020,Herbstferien,2020-10-12,2020-10-24
NW,2020,Weihnachtsferien,2020-12-21,2021-01-06
NW,2021,Weihnachtsferien,2020-12-21,2021-01-06
NW,2021,Osterferien,2021-03-29,2021-04-10
NW,2021,Pfingstferien,2021-05-25,2021-05-25
NW,2021,Sommerferien,2021-07-05,2021-08-17
NW,2021,Herbstferien,2021-10-11,2021-10-23
NW,2021,Weihnachtsferien,2021-12-24,2022-01-08
NW,2022,Weihnachtsferien,2021-12-24,2022-01-08
NW,2022,Osterferien,2022-04-11,2022-04-23
NW,2022,Sommerferien,2022-06-27,2022-08-09
NW,2022,Herbstferien,2022-10-04,2022-10-15
NW,2022,Weihnachtsferien,2022-12-23,2023-01-06
NW,2023,Weihnachtsferien,2022-12-23,2023-01-06
NW,2023,Osterferien,2023-04-03,2023-04-15
NW,2023,Pfingstferien,2023-05-30,2023-05-30
NW,2023,Sommerferien,2023-06-22,2023-08-04
NW,2023,Herbstferien,2023-10-02,2023-10-14
NW,2023,Weihnachtsferien,2023-12-21,2024-01-05
NW,2024,Weihnachtsferien,2023-12-21,2024-01-05
NW,2024,Osterferien,2024-03-25,2024-04-06
NW,2024,Pfingstferien,2024-05-21,2024-05-21
NW,2024,Sommerferien,2024-07-08,2024-08-20
NW,2024,Herbstferien,2024-10-14,2024-10-26
NW,2024,Weihnachtsferien,2024-12-23,2025-01-06
NW,2025,Weihnachtsferien,2024-12-23,2025-01-06
NW,2025,Osterferien,2025-04-14,2025-04-26
NW,2025,Pfingstferien,2025-06-10,2025-06-10
