bundesland,jahr,ferien_typ,start,ende
HH,2020,herbstferien hamburg 2020 ,2020-10-05,2020-10-16
HH,2020,weihnachtsferien hamburg 2020 ,2020-12-21,2021-01-04
HH,2021,winterferien hamburg 2021 (beweglicher ferientag),2021-01-29,2021-01-29
HH,2021,osterferien hamburg 2021,2021-03-01,2021-03-12
HH,2021,pfingstferien hamburg 2021,2021-05-10,2021-05-14
HH,2021,sommerferien hamburg 2021,2021-06-24,2021-08-04
HH,2021,herbstferien hamburg 2021,2021-10-04,2021-10-15
HH,2021,weihnachtsferien hamburg 2021,2021-12-23,2022-01-04
HH,2022,winterferien hamburg 2022 (beweglicher ferientag),2022-01-28,2022-01-28
HH,2022,osterferien hamburg 2022,2022-03-07,2022-03-18
HH,2022,pfingstferien hamburg 2022,2022-05-23,2022-05-27
HH,2022,sommerferien hamburg 2022,2022-07-07,2022-08-17
HH,2022,herbstferien hamburg 2022,2022-10-10,2022-10-21
HH,2022,weihnachtsferien hamburg 2022,2022-12-23,2023-01-06
HH,2023,winterferien hamburg 2023 (beweglicher ferientag),2023-01-27,2023-01-27
HH,2023,osterferien hamburg 2023,2023-03-06,2023-03-17
HH,2023,pfingstferien hamburg 2023,2023-05-15,2023-05-19
HH,2023,sommerferien hamburg 2023,2023-07-13,2023-08-23
HH,2023,herbstferien hamburg 2023 (beweglicher ferientag),2023-10-02,2023-10-02
HH,2023,herbstferien hamburg 2023,2023-10-16,2023-10-27
HH,2023,weihnachtsferien hamburg 2023,2023-12-22,2024-01-05
HH,2024,winterferien hamburg 2024 (beweglicher ferientag),2024-02-02,2024-02-02
HH,2024,osterferien hamburg 2024,2024-03-18,2024-03-28
HH,2024,pfingstferien hamburg 2024 (beweglicher ferientag),2024-05-10,2024-05-10
HH,2024,pfingstferien hamburg 2024,2024-05-21,2024-05-24
HH,2024,sommerferien hamburg 2024,2024-07-18,2024-08-28
HH,2024,herbstferien hamburg 2024 (beweglicher ferientag),2024-10-04,2024-10-04
